City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,62,20,2.0,RU,2023-09-25 22:46:44
1,zaozersk,69.4005,32.4476,5.58,96,100,6.8,RU,2023-09-25 22:46:45
2,newman,37.3138,-121.0208,26.19,19,93,3.05,US,2023-09-25 22:46:45
3,xiva,41.3783,60.3639,12.99,32,0,2.86,UZ,2023-09-25 22:46:45
4,kyzyl-mazhalyk,51.1333,90.6,2.75,53,99,0.68,RU,2023-09-25 22:46:45
5,yanam,16.7333,82.2167,25.45,94,89,0.56,IN,2023-09-25 22:46:45
6,bilibino,68.0546,166.4372,-1.87,82,100,0.22,RU,2023-09-25 22:46:46
7,lebu,-37.6167,-73.65,9.13,84,100,3.72,CL,2023-09-25 22:46:46
8,tangalle,6.024,80.7911,26.09,87,91,4.59,LK,2023-09-25 22:46:46
9,labrador city,52.9463,-66.9114,10.95,62,75,4.63,CA,2023-09-25 22:46:46
10,baneh,35.9975,45.8853,14.84,67,23,3.16,IR,2023-09-25 22:46:46
11,lorengau,-2.0226,147.2712,27.54,82,100,4.21,PG,2023-09-25 22:46:46
12,blackmans bay,-43.0167,147.3167,5.96,89,46,1.8,AU,2023-09-25 22:46:47
13,port-aux-francais,-49.35,70.2167,1.2,67,100,12.77,TF,2023-09-25 22:46:21
14,grytviken,-54.2811,-36.5092,-8.12,76,17,4.43,GS,2023-09-25 22:46:28
15,al bardiyah,31.7561,25.0865,24.45,81,0,2.14,LY,2023-09-25 22:46:47
16,port elizabeth,-33.918,25.5701,16.72,83,75,3.09,ZA,2023-09-25 22:43:18
17,waitangi,-43.9535,-176.5597,13.79,97,100,4.47,NZ,2023-09-25 22:46:24
18,tarko-sale,64.9225,77.785,11.11,86,100,10.28,RU,2023-09-25 22:44:23
19,st. john's,47.5649,-52.7093,8.71,83,100,9.39,CA,2023-09-25 22:46:48
20,aasiaat,68.7098,-52.8699,-2.39,88,96,3.12,GL,2023-09-25 22:46:48
21,aksu,41.1231,80.2644,15.85,33,93,2.08,CN,2023-09-25 22:46:48
22,jamestown,42.097,-79.2353,19.8,75,100,3.6,US,2023-09-25 22:46:48
23,ushuaia,-54.8,-68.3,9.81,43,0,3.09,AR,2023-09-25 22:46:22
24,meulaboh,4.1363,96.1285,23.72,90,100,2.02,ID,2023-09-25 22:46:48
25,adamstown,-25.066,-130.1015,20.78,74,78,9.25,PN,2023-09-25 22:46:20
26,badger,64.8,-147.5333,9.52,56,20,0.89,US,2023-09-25 22:46:49
27,buritis,-15.6178,-46.4233,33.77,21,77,0.5,BR,2023-09-25 22:42:11
